Key,Male,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
91,b,34.17,1.54,u,g,cc,v,1.54,t,t,1,t,g,520,50000,0.999999999982768
32,b,33.17,1.04,u,g,r,h,6.5,t,f,0,t,g,164,31285,0.9999999178786303
100,b,25.67,12.5,u,g,cc,v,1.21,t,t,67,t,g,140,258,0.9999934747093265
96,b,52.5,6.5,u,g,k,v,6.29,t,t,15,f,g,0,11202,0.9999627493677535
93,b,25.5,0.375,u,g,m,v,0.25,t,t,3,f,g,260,15108,0.9999507619871539
70,b,56.42,28.0,y,p,c,v,28.5,t,t,40,f,g,0,15,0.9999338956361
55,b,42.08,1.04,u,g,w,v,5.0,t,t,6,t,g,500,10000,0.999705573636198
58,b,49.5,7.585,u,g,i,bb,7.585,t,t,15,t,g,0,5000,0.999233058637429
53,b,56.58,18.5,u,g,d,bb,15.0,t,t,17,t,g,0,0,0.9971707482343034
46,b,25.0,11.25,u,g,c,v,2.5,t,t,17,f,g,200,1208,0.9968687694572617
67,b,28.92,15.0,u,g,c,h,5.335,t,t,11,f,g,0,2283,0.9964435256430306
94,b,19.42,6.5,u,g,w,h,1.46,t,t,7,f,g,80,2954,0.9950523788648853
65,b,54.58,9.415,u,g,ff,ff,14.415,t,t,11,t,g,30,300,0.9943927411182688
97,b,57.83,7.04,u,g,m,v,14.0,t,t,6,t,g,360,1332,0.9931332881619047
72,a,41.0,2.04,y,p,q,h,0.125,t,t,23,t,g,455,1236,0.9914736777370173
85,b,43.25,3.0,u,g,q,h,6.0,t,t,11,f,g,80,0,0.9911880875917173
43,a,23.25,5.875,u,g,q,v,3.17,t,t,10,f,g,120,245,0.9903418463341052
57,b,42.0,9.79,u,g,x,h,7.96,t,t,8,f,g,0,0,0.9900519227742717
87,b,31.67,16.165,u,g,d,v,3.0,t,t,9,f,g,250,730,0.988533970422678
62,b,27.25,1.585,u,g,cc,h,1.835,t,t,12,t,g,583,713,0.9879374390015986
92,a,36.0,1.0,u,g,c,v,2.0,t,t,11,f,g,0,456,0.9879088818062114
66,b,34.17,9.17,u,g,c,v,4.5,t,t,12,t,g,0,221,0.987850394290011
78,b,37.42,2.04,u,g,w,v,0.04,t,f,0,t,g,400,5800,0.9859707507196358
48,a,47.75,8.0,u,g,c,v,7.875,t,t,6,t,g,0,1260,0.9856255497974161
61,b,27.83,1.5,u,g,w,v,2.0,t,t,11,t,g,434,35,0.9855073310431388
69,b,39.58,13.915,u,g,w,v,8.625,t,t,6,t,g,70,0,0.9834480637921453
52,a,47.0,13.0,u,g,i,bb,5.165,t,t,9,t,g,0,0,0.9795232007918648
71,b,54.33,6.75,u,g,c,h,2.625,t,t,11,t,g,0,284,0.9790954007269941
59,a,36.75,5.125,u,g,e,v,5.0,t,f,0,t,g,0,4000,0.9783230426624825
27,a,58.67,4.46,u,g,q,h,3.04,t,t,6,f,g,43,560,0.9779231579641978
40,a,45.83,10.5,u,g,q,v,5.0,t,t,7,t,g,0,0,0.9764010110030926
45,a,19.17,8.585,u,g,cc,h,0.75,t,t,7,f,g,96,0,0.9756410556836648
73,b,31.92,4.46,u,g,cc,h,6.04,t,t,3,f,g,311,300,0.9754258681988046
29,b,27.83,1.54,u,g,w,v,3.75,t,t,5,t,g,100,3,0.9719291302823874
60,a,22.58,10.75,u,g,q,v,0.415,t,t,5,t,g,0,560,0.9693353408355085
54,b,57.42,8.5,u,g,e,h,7.0,t,t,3,f,g,0,0,0.9686123708204408
56,b,29.25,14.79,u,g,aa,v,5.04,t,t,5,t,g,168,0,0.9677558525895145
49,a,27.42,14.5,u,g,x,h,3.085,t,t,1,f,g,120,11,0.963071269713881
89,a,20.42,0.835,u,g,q,v,1.585,t,t,1,f,g,0,0,0.957313759981267
63,a,23.0,11.75,u,g,x,h,0.5,t,t,2,t,g,300,551,0.9561915360104224
51,a,15.83,0.585,u,g,c,h,1.5,t,t,2,f,g,100,0,0.9556086287033652
26,b,30.83,0.0,u,g,w,v,1.25,t,t,1,f,g,202,0,0.9531442466835763
68,b,29.67,1.415,u,g,w,h,0.75,t,t,1,f,g,240,100,0.9523366045842764
95,b,35.17,25.125,u,g,x,h,1.625,t,t,1,t,g,515,500,0.9487684297549497
42,b,28.25,0.875,u,g,m,v,0.96,t,t,3,t,g,396,0,0.9471611599534421
99,b,39.92,6.21,u,g,q,v,0.04,t,t,1,f,g,200,300,0.94667646373144
90,b,26.67,4.25,u,g,cc,v,4.29,t,t,1,t,g,120,0,0.9441353690521528
